날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2019-12-01,27.846,25.029,15.999,19.121,15.923,19.868,26.426,27.567,18.562,19.359,15.759,9.918,9.179,5.546,7.212,15.67,28.882,43.144,63.484,184.362,200.162,169.88,186.972,231.933
2019-12-02,256.605,245.428,228.624,229.361,226.257,242.204,226.189,209.256,188.624,186.859,172.076,189.128,202.668,190.484,214.174,223.181,207.106,201.855,189.488,189.725,181.907,195.703,209.707,221.158
2019-12-03,211.602,180.26,156.689,135.158,100.972,82.452,89.405,71.138,58.828,34.982,24.065,24.666,41.796,72.187,77.223,62.469,69.759,47.194,53.583,50.896,37.266,29.003,31.032,28.006
2019-12-04,31.477,43.374,56.503,59.748,63.38,69.384,73.544,50.998,24.208,14.402,24.734,28.427,34.357,46.871,44.691,47.141,41.533,39.029,48.98,54.743,70.9,78.205,75.357,77.805
2019-12-05,85.333,91.454,92.505,90.391,80.521,85.458,52.956,26.997,10.407,17.923,58.332,87.984,132.166,187.528,194.684,184.325,192.816,219.469,217.099,204.12,193.127,189.027,177.345,123.122
2019-12-06,199.654,210.237,189.976,174.164,174.518,184.294,166.342,144.861,145.257,179.166,181.034,176.248,164.218,180.212,193.454,178.784,151.233,123.122,136.868,146.981,174.385,177.701,193.107,191.439
2019-12-07,179.8,173.789,146.587,144.977,172.058,159.582,180.142,186.861,170.869,167.911,177.185,172.192,117.378,81.279,119.869,150.47,153.374,164.077,157.169,137.621,157.745,143.429,134.61,102.146
2019-12-08,75.96,72.649,65.905,106.81,126.577,115.207,84.191,61.269,72.661,83.909,86.328,76.235,74.39,72.531,82.281,85.915,67.719,64.337,67.135,60.46,55.139,43.886,41.106,25.363
2019-12-09,28.139,31.92,20.549,22.507,28.198,30.144,20.079,13.902,4.999,1.092,2.157,6.872,8.982,8.157,6.339,3.362,1.678,2.779,1.996,2.511,5.22,12.545,20.377,14.526
2019-12-10,23.142,22.229,33.365,40.025,23.698,12.141,11.938,10.826,4.962,5.374,7.981,11.395,17.938,23.879,18.815,10.911,9.364,10.234,22.43,32.347,22.917,23.153,24.658,13.714
2019-12-11,18.378,19.185,16.686,14.259,2.722,6.449,12.106,13.124,17.456,9.937,20.662,36.399,41.695,73.583,108.596,168.678,204.959,223.364,201.561,222.433,223.974,220.87,217.462,207.745
2019-12-12,217.461,220.288,202.92,179.348,167.929,159.486,160.891,137.158,141.549,149.333,114.905,93.618,69.315,62.452,67.736,86.582,92.817,85.671,84.734,89.901,67.778,80.318,72.319,61.655
2019-12-13,55.939,36.103,18.581,12.874,11.728,6.064,4.099,1.748,3.317,3.664,4.405,4.535,4.54,4.419,2.575,3.02,2.514,9.302,13.328,12.824,15.068,5.781,1.718,5.964
2019-12-14,7.733,10.207,13.321,34.562,56.739,82.702,77.817,89.708,170.462,147.37,147.705,131.269,54.22,57.118,68.094,87.824,66.682,57.357,65.005,77.166,74.071,56.766,31.983,24.205
2019-12-15,12.306,9.744,10.11,4.044,4.538,3.987,2.639,5.423,27.734,26.04,32.505,42.766,28.72,21.596,19.398,18.468,15.399,21.724,43.879,38.351,28.224,26.959,31.153,22.474
2019-12-16,35.518,27.711,18.643,24.123,21.522,14.617,15.066,23.268,19.171,21.146,35.423,32.134,32.106,38.404,28.429,25.426,27.505,27.507,19.282,16.5,15.949,29.581,37.512,44.624
2019-12-17,53.137,56.166,39.898,27.722,41.022,41.184,44.509,39.332,32.98,48.025,69.845,33.602,34.12,71.877,81.939,120.514,184.7,183.522,222.333,234.645,224.356,232.891,246.325,226.342
2019-12-18,210.828,155.657,143.282,149.661,160.148,179.003,204.579,219.379,213.874,225.339,226.901,174.773,110.005,127.519,144.238,184.848,207.835,224.904,227.237,218.568,209.636,223.956,217.072,190.177
2019-12-19,207.104,200.137,207.314,205.579,218.984,219.67,199.083,187.24,203.064,209.709,206.783,212.932,201.853,209.116,207.921,200.081,186.531,189.202,217.96,233.518,210.494,190.558,190.167,159.343
2019-12-20,119.004,116.567,100.945,95.148,87.159,91.233,85.541,69.522,39.612,29.683,46.662,68.197,105.817,117.999,112.237,91.319,68.556,59.543,63.085,64.403,68.22,76.794,57.439,32.6
2019-12-21,38.053,38.044,55.281,83.361,72.13,116.057,99.649,57.835,46.518,45.39,30.008,25.144,17.015,20.462,13.869,12.299,9.087,25.814,36.887,58.404,70.026,56.28,52.087,52.716
2019-12-22,48.212,82.87,79.243,71.595,50.342,48.52,67.084,91.738,129.584,133.901,140.385,128.794,71.753,70.227,70.77,55.45,38.462,26.61,32.342,18.167,17.863,9.392,13.571,15.541
2019-12-23,10.396,25.985,43.866,52.294,62.861,71.019,101.321,98.597,67.044,70.371,80.607,73.556,67.259,117.994,118.938,129.223,148.404,143.629,120.902,121.153,120.871,121.458,120.566,102.745
2019-12-24,97.486,101.799,89.728,93.231,101.998,88.332,52.027,50.11,51.502,40.643,30.3,30.415,21.931,28.706,15.901,3.771,3.325,2.144,1.298,5.96,14.149,8.051,4.684,4.213
2019-12-25,5.685,2.029,0.806,1.036,1.842,1.533,2.323,4.723,12.001,10.366,9.853,4.91,5.582,16.024,18.413,16.031,15.053,43.257,57.764,63.013,39.637,31.293,28.181,11.984
2019-12-26,9.942,12.852,3.608,3.267,14.558,58.473,43.867,25.943,22.068,21.062,26.367,87.155,210.029,247.498,262.135,258.447,255.393,241.468,224.796,227.44,232.7,224.594,225.017,232.63
2019-12-27,236.848,235.86,238.578,242.65,244.147,244.636,235.956,217.591,203.296,172.68,158.955,140.857,144.599,137.274,125.075,131.118,130.078,107.607,101.822,74.303,51.675,35.77,28.021,24.174
2019-12-28,26.562,37.708,36.625,30.628,18.973,23.381,29.03,18.351,12.158,13.632,12.731,5.932,2.662,4.881,4.111,2.176,1.302,1.1,1.024,2.425,3.329,3.232,4.314,6.337
2019-12-29,11.004,12.174,19.552,28.988,27.115,39.886,36.218,33.659,59.429,53.559,61.434,56.496,63.476,57.592,59.28,64.133,90.563,95.69,89.987,118.193,106.595,72.268,54.592,47.441
